TypePermis;RaisonSociale;AdresseEtabl;Ville;CodePostal
Production artisanale de cidre;LES VERGERS DENIS CHARBONNEAU INC.;575, RANG DE LA MONTAGNE / 45, CHEMIN DES SOUS-BOIS;MONT-SAINT-GRÉGOIRE;J0J1K0
Production artisanale de cidre;DOMAINE DE CAVEL;1074, CHEMIN DE LA MONTAGNE;MONT-SAINT-HILAIRE;J3G4S6
Production artisanale de cidre;CIDRERIE VERGER LÉO BOUTIN;711, RANG DE LA MONTAGNE;SAINTE-ANGÈLE-DE-MONNOIR;J0L1P0
Production artisanale de cidre;UNION LIBRE;1047, ROUTE 202;DUNHAM;J0E1M0
Production artisanale de cidre;LE GRAND SAINT-CHARLES;995, GRAND RANG SAINT-CHARLES;SAINT-PAUL-D'ABBOTSFORD;J0E1A0
Fabricant de cidre;CIDRERIE ST-NICOLAS;2068-2074, ROUTE MARIE VICTORIN;LÉVIS;G7A4H5
Production artisanale de cidre;LE VERGER LAMARCHE ENR.;175, MONTÉE DU VILLAGE;SAINT-JOSEPH-DU-LAC;J0N1M0
Production artisanale de cidre;AU PAVILLON DE LA POMME;1130, BOULEVARD SIR-WILFRID-LAURIER;MONT-SAINT-HILAIRE;J3H0M3
Production artisanale de cidre;VERGER PETIT ET FILS;1020, CHEMIN DE LA MONTAGNE;MONT-SAINT-HILAIRE;J3G4S6
Production artisanale de cidre;LA CIDRERIE DU VILLAGE;500 ET 509, PRINCIPALE;ROUGEMONT;J0L1M0
Production artisanale de cidre;DOMAINE LAFRANCE;1397 ET 1473, CHEMIN PRINCIPAL;SAINT-JOSEPH-DU-LAC;J0N1M0
Production artisanale de cidre;CIDRERIE VERGER BILODEAU;1868, CHEMIN ROYAL;SAINT-PIERRE-DE-L'ÎLE-D'ORLÉANS;G0A4E0
Production artisanale de cidre;DOMAINE HÉRITAGE CIDRERIE;150, CHEMIN RICHFORD;FRELIGHSBURG;J0J1C0
Production artisanale de cidre;DOMAINE SAINT-PIERRE;1865, CHEMIN ROYAL;SAINT-PIERRE-DE-L'ÎLE-D'ORLÉANS;G0A4E0
Production artisanale de cidre;CIDRERIE DU BOUT DE L'ÎLE;8683 et 8684, CHEMIN ROYAL;SAINTE-PÉTRONILLE;G0A4C0
Production artisanale de cidre;CIDRERIE SAINT-ANTOINE;3101, ROUTE MARIE-VICTORIN;SAINT-ANTOINE-DE-TILLY;G0S2C0
Production artisanale de cidre;CIDRERIE LE SOMNAMBULE;270, CHEMIN JEAN-GUÉRIN OUEST;SAINT-HENRI;G0R3E0
Production artisanale de cidre;VERGER PEDNEAULT ISLE-AUX-COUDRES;3384, CHEMIN DES COUDRIERS;L'ISLE-AUX-COUDRES;G0A3J0
Production artisanale de cidre;VERGER CIDRERIE LARIVIÈRE;1188, 8e RANG;SAINT-THÉODORE-D'ACTON;J0H1Z0
Production artisanale de cidre;DOMAINE RITT, CIDRERIE ET VERGERS;503, CHEMIN BELLEVUE OUEST;CAP-SAINT-IGNACE;G0R1H0
Production artisanale de cidre;DOMAINE ORLÉANS;1067, CHEMIN ROYAL;SAINT-PIERRE-DE-L'ÎLE-D'ORLÉANS;G0A4E0
Production artisanale de cidre;VERGER JOE GIGUÈRE;2194, CHEMIN ROYAL;SAINTE-FAMILLE-DE-L'ÎLE-D'ORLÉANS;G0A3P0
Production artisanale de cidre;DOMAINE SAINTE-FAMILLE;2388 et 2393, CHEMIN ROYAL;SAINTE-FAMILLE-DE-L'ÎLE-D'ORLÉANS;G0A3P0
Production artisanale de cidre;CIDRERIE MILTON;5, ROUTE 137 NORD ET 348, RUE PRINCIPALE;SAINTE-CÉCILE-DE-MILTON;J0E2C0
Production artisanale de cidre;VERGERS PHILION;389, ROUTE 202;HEMMINGFORD;J0L1H0
Production artisanale de cidre;CIDRERIE LACROIX;649, CHEMIN PRINCIPAL;SAINT-JOSEPH-DU-LAC;J0N1M0
Production artisanale de cidre;DOMAINE LEDUC-PIEDIMONTE;30, CHEMIN DE MARIEVILLE;ROUGEMONT;J0L1M0
Production artisanale de cidre;CIDRERIE DU PETIT SAINT-JOSEPH;1944, RANG DU DOMAINE;SAINT-JOSEPH-DU-LAC;J0N1M0
Production artisanale de cidre;LES ROY DE LA POMME;1020, AVENUE SAINT-JEAN-DE-LA-LANDE     *(VOIR COMMANTAIRE);SAINT-GEORGES;G5Z0M2
Production artisanale de cidre;LES VERGERS LA TÊTE DANS LES POMMES;1673, CHEMIN PRINCIPAL;SAINT-JOSEPH-DU-LAC;J0N1M0
Production artisanale de cidre;VAL CAUDALIES;4921, RUE PRINCIPALE;DUNHAM;J0E1M0
Production artisanale de cidre;CIDRERIE ROCKBURN;2365, ROUTE 202;HINCHINBROOKE;J0S1A0
Production artisanale de cidre;CIDRERIE CRYO;85, RANG DES ÉTANGS;MONT-SAINT-HILAIRE;J3G4S6
Production artisanale de cidre;VERGER CROQUE-POMME;20, MONTÉE BERNDT;LOCHABER-PARTIE-OUEST;J0X3B0
Production artisanale de cidre;LE VERGER POMÉLOI;33 et 82, CHEMIN DU P'TIT-BOIS NORD;LES ÎLES-DE-LA-MADELEINE;G4T0G9
Production artisanale de cidre;VERGER FERLAND;380, CHEMIN DE LA STATION;COMPTON;J0B1L0
Production artisanale de cidre;CIDRERIE CORONATION HALL CIDER MILLS;206, CHEMIN RIVER;BRISTOL;J0X1G0
Production artisanale de cidre;COTEAU ROUGEMONT;1105, LA PETITE CAROLINE;ROUGEMONT;J0L1M0
Production artisanale de cidre;VERGER BENOIT CARRÉ;525-A ET 525-B, CHEMIN DE PORT-AU-PERSIL;SAINT-SIMÉON;G0T1X0
Production artisanale de cidre;VIGNOBLE INSELBERG;277, RANG DE LA MONTAGNE;ROUGEMONT;J0L1M0
Production artisanale de cidre;ENTRE PIERRE ET TERRE INC.;1260, ROUTE 202;FRANKLIN;J0S1E0
Production artisanale de cidre;LE VERGER DU FLANC NORD;835, CHEMIN ROUILLARD;MONT-SAINT-HILAIRE;J3H0K4
Production artisanale de cidre;CIDRERIE & VERGER À L'ORÉE DU BOIS;3161, ROUTE MARIE-VICTORIN;SAINT-ANTOINE-DE-TILLY;G0S2C0
Production artisanale de cidre;QUI SÈME RÉCOLTE!;291, RANG SAINT-GUILLAUME;SAINT-JEAN-DE-MATHA;J0K2S0
Production artisanale de cidre;DOMAINE HÉBERT;450 et 460, CHEMIN DU ROY;DESCHAMBAULT-GRONDINES;G0A1S0
Production artisanale de cidre;CIDRERIE ET DISTILLERIE C.E.PETCH (CIDRERIE POMIVERDE);431, ROUTE 202 OUEST;HEMMINGFORD;J0L1H0
Production artisanale de cidre;VERGER GUIMOND;462, CHEMIN BELLEVUE OUEST;CAP-SAINT-IGNACE;G0R1H0
Production artisanale d'hydromel;HYDROMELERIE LES SAULES;27, CHEMIN SAXBY NORD et 1135, ROUTE 112;SHEFFORD;J2M2A2
Production artisanale d'hydromel;FERME APICOLE DESROCHERS D. INC.;R.R. 3 - 113, 2E RANG DE GRAVEL;FERME-NEUVE;J0W1C0
Production artisanale d'hydromel;INTERMIEL INC.;10291, RANG DE LA FRESNIÈRE;MIRABEL;J7N3M3
Production artisanale d'hydromel;HYDROMELLERIE DU VIEUX MOULIN;141, ROUTE DE LA MER;SAINTE-FLAVIE;G0J2L0
Production artisanale d'hydromel;FERME LA BUTINEUSE;14835, CHEMIN DU ST-LAURENT;BÉCANCOUR;G9H3G6
Production artisanale d'hydromel;HYDROMEL FOREST;1059, ROUTE DE DIMOCK CREEK;MARIA;G0C1Y0
Production artisanale d'hydromel;MIEL NATURE;675, CHEMIN DE LA BEAUCE;BEAUHARNOIS;J6N3B8
Production artisanale d'hydromel;HYDROMELLERIE SAINT-PAUL-DE-LA-CROIX;62, RUE PRINCIPALE OUEST;SAINT-PAUL-DE-LA-CROIX;G0L3Z0
Production artisanale d'hydromel;MIEL DES RUISSEAUX;2920, ROUTE DU LAC OUEST;ALMA;G8B5V2
Production artisanale d'hydromel;LE CHÂTEAU BLANC;521, CHEMIN DES PRÉS OUEST;RIMOUSKI;G5N1X9
Production artisanale d'hydromel;MIEL GARDNER;236, ROUTE DU 2e RANG;SAINT-NORBERT-D'ARTHABASKA;G0P1B0
Production artisanale d'hydromel;MIEL EN MER;294, CHEMIN DES ÉCHOURIES;LES ÎLES-DE-LA-MADELEINE;G4T5J8
Production artisanale de petits fruits;VIN ARTISANAL LE RICANEUX;5540, RANG SUD-EST;SAINT-CHARLES-DE-BELLECHASSE;G0R2T0
Production artisanale de petits fruits;CASSIS MONNA & FILLES;1225, CHEMIN ROYAL;SAINT-PIERRE-DE-L'ÎLE-D'ORLÉANS;G0A4E0
Production artisanale de petits fruits;FERME GUY RIVEST;1305, CHEMIN LALIBERTÉ;RAWDON;J0K1S0
Production artisanale de petits fruits;DOMAINE IVES HILL;12, CHEMIN BOYCE;COMPTON;J0B1L0
Production artisanale de petits fruits;LES FRAISES LOUIS HÉBERT;978, CHEMIN DE LA QUATRIÈME LIGNE;SAINT-VALENTIN;J0J2E0
Production artisanale de petits fruits;LA VALLÉE DE LA FRAMBOISE;34, ROUTE  LAUZIER;VAL-BRILLANT;G0J3L0
Production artisanale de petits fruits;NORD-VIE;1049, CHEMIN DES 2IÈME ET 3IÈME RANGS;SAINT-BRUNO-DE-GUIGUES;J0Z2G0
Production artisanale de petits fruits;DOMAINE LE CAGEOT - VIGNOBLE;5455, CHEMIN SAINT-ANDRÉ;SAGUENAY;G7X7V4
Production artisanale de petits fruits;LE BARBOCHEUX;475, CHEMIN CAP-ROUGE;LES ÎLES-DE-LA-MADELEINE;G4T5C8
Production artisanale de petits fruits;FERME BOURDAGES TRADITION;255, AVENUE DU VIADUC;SAINT-SIMÉON;G0C3A0
Production artisanale de petits fruits;FERME TOURNESOL;745, RUE PRINCIPALE;SAINTE-ANNE-DE-LA-PÉRADE;G0X2J0
Production artisanale de petits fruits;VERGER MÉTABETCHOUAN;1194, ROUTE SAINT-ANDRÉ;MÉTABETCHOUAN-LAC-À-LA-CROIX;G8G1X4
Production artisanale de petits fruits;AUX QUATRES VENTS;220 ET 222, CHEMIN DE L'ACAJOU;LA CONCEPTION;J0T1M0
Production artisanale de petits fruits;LES SERRES DE LA PRESQU’ÎLE (RÊVE BLEU);386, RANG DE LA PRESQU’ÏLE;SAINT-DAMASE;J0H1J0
Production artisanale de petits fruits;VERGERS DE VELOURS;324, ROUTE 169;SAINT-HENRI-DE-TAILLON;G0W2X0
Production artisanale de petits fruits;OMERTO;328, RANG SAINT-ANTOINE NORD;BAIE-SAINT-PAUL;G3Z2C3
Production artisanale de petits fruits;DOMAINE L'ORÉE DES BOIS;37, RANG SAINT-JOSEPH;NOTRE-DAME-DE-LORETTE;G0W1B0
Production artisanale de petits fruits;BOIS DE ST-CYR;5200, CHEMIN SAINT-CYR;LABELLE;J0T1H0
Production artisanale de petits fruits;LES JARDINS MERRIDOR;305, CHEMIN LISGAR;ULVERTON;J0B2B0
Production artisanale de petits fruits;LA VALLÉE BLEUE;747, RANG 1;VAL-ALAIN;G0S3H0
Production artisanale de petits fruits;LES FRUITS DU SOMMET;9, CHEMIN POTVIN;MESSINES;J0X2J0
Production artisanale de vin;LES VIGNES DES BACCHANTES;653, CHEMIN BROWNLEE;HEMMINGFORD;J0L1H0
Production artisanale de cidre;CHEMIN DES SEPT;6600, CHEMIN DES SEPT;SAINT-JEAN-BAPTISTE;J0L2B0
Production artisanale de petits fruits;LA FERME DU CAPITAINE NOËL;4734 et 4748, CHEMIN ROYAL;SAINT-JEAN-DE-L'ÎLE-D'ORLÉANS;G0A3W0
Production artisanale de cidre;VERGER ST-MARC;981, CHEMIN LAFRENIÈRE;SAINT-MARC-SUR-RICHELIEU;J0L2E0
Producteur artisanal de bière;DÉLIRES ET DÉLICES INC.;1626, AVENUE BOURGOGNE;CHAMBLY;J3L1Y7
Production artisanale de cidre;DOMAINE DES SORCIERS;2849, CHEMIN ROYAL;SAINTE-FAMILLE-DE-L'ÎLE-D'ORLÉANS;G0A3P0
Production artisanale de vin;VIGNOBLE LES FARFELUS;1123, CHEMIN AREL;MELBOURNE;J0B2B0
Producteur artisanal de bière;RESTO-BRASSERIE LE PRESBYTÈRE;1360, RUE PRINCIPALE;SAINT-STANISLAS;G0X3E0
Producteur artisanal de bière;LE BARRAGE BRASSEURS;4200, CHEMIN DE LA SAVANE;LONGUEUIL;J3Y0P6
Production artisanale de cidre;LA CIDRERIE D'UN HECTARE;99, BOULEVARD SAINTE-MARGUERITE;MERCIER;J6R2L1
Producteur artisanal de bière;BRASSERIE ISLE DE GARDE;1039, RUE BEAUBIEN EST;MONTRÉAL;H2S1T3
Production artisanale d'hydromel;MIELLERIE ST-PATRICE;438, AVENUE DES CORDILLIÈRES;QUÉBEC;G1C5C4
Production artisanale de vin;VIGNOBLE LES GÉMEAUX;766, CHEMIN DE LA PREMIÈRE CONCESSION;HINCHINBROOKE;J0S1A0
Production artisanale de vin;VIGNOBLE LA BELLE ALLIANCE;220 ET 239, CHEMIN DE FULLFORD;SHEFFORD;J2M1B2
Producteur artisanal de bière;L'ANCIENNE BANQUE;76, RUE SAINT-JACQUES;L'ISLE-AUX-ALLUMETTES;J0X1M0
Production artisanale de vin;DOMAINE SMALL;261, RUE SAINT-PIERRE;SAINTE-AGATHE-DE-LOTBINIÈRE;G0S2A0
Production artisanale de cidre;AUTOUR DE LA POMME S.E.N.C.;187, CHEMIN JOLLEY;SHEFFORD;J2M1N4
Producteur artisanal de bière;REFUGE DES BRASSEURS;2155, RUE GALT OUEST;SHERBROOKE;J1K1K3
Producteur artisanal de bière;ETOH BRASSERIE;8100, RUE SAINT-DENIS;MONTRÉAL;H2P2G6
Production artisanale de vin;DOMAINE DES SALANGES;219, CHEMIN MASSÉ;LES ÎLES-DE-LA-MADELEINE;G4T0J4
Brasseur;LA FORGE DU MALT;2385, BOULEVARD THIBEAU, LOCAL 204 et 206;TROIS-RIVIÈRES;G8T1G1
Brasseur;BRASSERIE HARRICANA;85/95, RUE JEAN-TALON OUEST ET 7205, RUE SAINT-URBAIN;MONTRÉAL;H2R2W8
Brasseur;MICROBRASSERIE DE TADOUSSAC;145, RUE DU BORD-DE-L'EAU;TADOUSSAC;G0T2A0
Brasseur;MICROBRASSERIE LABROSSE;133, AVENUE LABROSSE;POINTE-CLAIRE;H9R1A3
Brasseur;BRASSERIE MILLE ÎLES;1065, RUE DES FORGES;TERREBONNE;J6Y1V2
Brasseur;MICROBRASSERIE LA FABRIQUE;366, AVENUE SAINT-JÉRÔME;MATANE;G4W3B2
Brasseur;LA BRASSERIE GRANDE ALLÉE;4312, BOULEVARD DE LA GRANDE-ALLÉE;BOISBRIAND;J7H1M9
Brasseur;CÔTE-DU-SUD MICROBRASSERIE;50, BOULEVARD TACHÉ OUEST;MONTMAGNY;G5V3A2
Production artisanale d’alcools et spiritueux;DISTILLERIE SHEFFORD;18, CHEMIN SAXBY NORD;SHEFFORD;J2M0A6
Brasseur;MICROBRASSERIE AU FRONTIBUS;37, 39 ET 41, RUE DU BANC;GASPÉ;G4X5E3
Brasseur;NOIRE ET BLANCHE;196, RUE SAINT-EUSTACHE;SAINT-EUSTACHE;J7R2L7
Brasseur;LE CAVEAU DES TROIS PISTOLES;21, RUE PELLETIER;TROIS-PISTOLES;G0L4K0
Production artisanale de vin;LA BONTÉ DIVIGNE;2090, CHEMIN DES DEUX-RIVIÈRES;ROBERVAL;G8H2M9
Producteur artisanal de bière;MICROBRASSERIE BROUEMALT INC.;353 et 353-A RUE PRINCIPALE;SAINT-DONAT;J0T2C0
Brasseur;PIE BRAQUE - MICROBRASSERIE;2376, RUE ALEXIS-LE-TROTTEUR;SAGUENAY;G7X0J7
Brasseur;BRASSERIE DU BAS CANADA INC.;455, BOULEVARD DE LA GAPPE, LOCAL 103;GATINEAU;J8T0A2
Brasseur;BRASSERIE 11 COMTÉS;225, RUE POPE;COOKSHIRE-EATON;J0B1M0
Production artisanale de vin;VIGNOBLE PETIT CHARIOT ROUGE;C-165, CHEMIN DE CALUMET OUEST;CLARENDON;J0X2Y0
Brasseur;BOSWELL BRASSERIE ARTISANALE;2407, AVENUE MONT-ROYAL EST;MONTRÉAL;H2H1L2
Brasseur;MICROBRASSERIE LA SOUCHE INC.;22-B, 1ère AVENUE;STONEHAM-ET-TEWKESBURY;G3C0K7
Production artisanale de cidre;FERME BLACK CREEK;2638, MONTÉE DE ROCKBURN;HINCHINBROOKE;J0S1A0
Production artisanale d'hydromel;LA MIELLERIE KING;15, RUE LAJEUNESSE - LOCAL 700;KINGSEY FALLS;J0A1B0
Brasseur;MICROBRASSERIE LIVINGSTONE;2150, CHEMIN DE COVEY HILL;FRANKLIN;J0S1E0
Brasseur;MICROBRASSERIE 4 ORIGINES LTÉE;1304, RUE SAINT-PATRICK;MONTRÉAL;H3K1A4
Brasseur;MICROBRASSERIE RUISSEAU NOIR;3130 A, BOULEVARD DES ENTREPRISES, LOCAL 118, 119 et 120;TERREBONNE;J6X4J8
Brasseur;BRASSERIE DÉPAREILLÉE;751, RUE SAINTE-ANNE;YAMACHICHE;G0X3L0
Production artisanale de vin;VINETAGE;2477, CHEMIN PRINCIPAL;SAINT-JOSEPH-DU-LAC;J0N1M0
Production artisanale de mistelle;LE VERGER DE L'ÎLE NEPAWA;430, ROUTE DE L'ÎLE NEPAWA;SAINTE-HÉLÈNE-DE-MANCEBOURG;J0Z2T0
Brasseur;MICROBRASSERIE Ô QUAI DES BRASSEURS;1825, BOULEVARD DE PORT-ROYAL;BÉCANCOUR;G9H4W5
Brasseur;MICROBRASSERIE SAINT-HONORÉ;681, RUE DE L'HOTEL-DE-VILLE;SAINT-HONORÉ;G0V1L0
Production artisanale de vin;FERME DE L'ÎLE MTL;1468, CHEMIN SAINT-FÉRÉOL;LES CÈDRES;J7T1N8
Brasseur;MICROBRASSERIE LA COMPAGNIE DE SEPT-ÎLES;15 RUE DU PÈRE-DIVET;SEPT-ÎLES;G4R5B6
Brasseur;LE DISPENSAIRE DE BIÈRE INC.;102, RUE PRINCE-ARTHUR EST;MONTRÉAL;H2X1B5
Production artisanale de vin;VIGNOBLE DE POMONE INC.;144, CHEMIN DE LA RIVIÈRE DELISLE SUD;COTEAU-DU-LAC;J0P1B0
Brasseur;L'OCTANT - MICROBRASSERIE INC.;124, RUE DES ATELIERS - LOCAL B;RIMOUSKI;G5M1B5
Brasseur;CAMP DE BASE, BRASSERIE ARTISANALE;1508, CHEMIN DE L'AVALANCHE;SAINT-ADOLPHE-D'HOWARD;J0T2B0
Brasseur;BRASSERIE CHAMP LIBRE;258, 260 BOULEVARD SAINT-JEAN-BAPTISTE;MERCIER;J6R2B8
Production artisanale de vin;LE CLOS DE L'ORME BLANC;1050, CHEMIN DUTCH;SAINT-ARMAND;J0J1T0
Production artisanale de cidre;CIDRERIE DU CHEMIN 9;1308 CHEMIN BELLEVUE O.;CAP-SAINT-IGNACE;G0R1H0
Producteur artisanal de bière;LES SANS-TAVERNE;1900, RUE LE BER  - LOCAL 101;MONTRÉAL;H3K2A4
Brasseur;MACALLEN FERME & BRASSERIE;254, ROUTE 343;SAINT-AMBROISE-DE-KILDARE;J0K1C0
Production artisanale de cidre;AU PIED DE COCHON;3895 MONTÉE ROBILLARD;MIRABEL;J7N2S3
Brasseur;MICROBRASSERIE LE FERMENTOR;318 RUE SAINT-PAUL, LOCAL B ET C;REPENTIGNY;J5Z3T3
Brasseur;MENAUD DISTILLERIE ET BRASSERIE;1, RUE DE LA RIVIÈRE;CLERMONT;G4A1B5
Production artisanale de vin;VIGNOBLE COTEAU DES ARTISANS;1680, CHEMIN DE BÉTHANIE;BÉTHANIE;J0H1E1
Brasseur;ROBIN BIÈRE NATURELLE;6547, RUE FOSTER;WATERLOO;J0E2N0
Producteur artisanal de bière;MICROBRASSERIE LA GARNISON;4256, RUE LAVAL;LAC-MÉGANTIC;G6B1B5
Brasseur;DISTILLERIE WILSY;4600, ROUTE 344;SAINT-PLACIDE;J0V2B0
Brasseur;MICROBRASSERIE LA VEILLÉE;11, RUE SAINT-VINCENT;SAINTE-AGATHE-DES-MONTS;J8C2A3
Producteur artisanal de bière;BEAT & BETTERAVE;41, RUE PRINCIPALE;FRELIGHSBURG;J0J1C0
Brasseur;LE SAINT-FÛT;253-A, RUE DU SAGUENAY;SAINT-FULGENCE;G0V1S0
Production artisanale d'hydromel;MIEL MORAND;510, RANG SAINT-CHARLES;SAINT-THOMAS;J0L3L0
Brasseur;BRAUWERK HOFFMAN;1298, ROUTE 148;CAMPBELL'S BAY;J0X1K0
Production artisanale de cidre;VERGER MERLEAU;72, CHEMIN PAUL;BOUCHETTE;J0X1E0
Brasseur;BRASSERIE ARTISANALE GALLICUS;670, RUE AUGUSTE-MONDOUX, LOCAL 4;GATINEAU;J9J3K3
Brasseur;MICROBRASSERIE TROIS-LACS;434, RUE AIMÉ-VINCENT;VAUDREUIL-DORION;J7V5V5
Production artisanale de vin;LE JARDIN DE LA ROSE DES VINS;47, RANG DES VINGT;SAINT-BASILE-LE-GRAND;J3N1M2
Production artisanale de cidre;CIDRE CHOINIÈRE;2, CHEMIN DE LA POSTE-DE-BOSTON;FRELIGHSBURG;J0J1C0
Brasseur;TRÉCARRÉ MICROBRASSERIE;1431, RUE PRINCIPALE;SAINT-CÔME;J0K2B0
Brasseur;DOMAINE NOKOMIS;248, CHEMIN DESAULNIERS;STOKE;J0B3G0
Producteur artisanal de bière;LA BUVETTE DU QUARTIER;50-1015, BOULEVARD DU QUARTIER;BROSSARD;J4Z0M8
Production artisanale de vin;VIGNOBLE SAINT-PIERRE;1015, CHEMIN ROYAL;SAINT-PIERRE-DE-L'ÎLE-D'ORLÉANS;G0A4E0
Producteur artisanal de bière;PUB BREWSKEY BRASSERIE ARTISANALE;350 RUE SAINT-PAUL EST, LOCAUX 150 ET 175;MONTRÉAL;H2Y1H2
Brasseur;LES DISTRIBUTIONS SHAWBRIDGE;101-3023, BOULEVARD CURÉ LABELLE;PRÉVOST;J0R1T0
Production artisanale de vin;DOMAINE POLISSON;201, RANG DE L'ANNONCIATION;OKA;J0N1E0
Producteur artisanal de bière;LES INSULAIRES MICROBRASSEURS;275, BOULEVARD DE LA CONCORDE EST;LAVAL;H7G2E5
Producteur artisanal de bière;MICROBRASSERIE L'ENTÊTÉ;15400, CHEMIN CHARLES;MIRABEL;J7J0V9
Brasseur;CANTON BRASSE;2263, 2265 ET 2267, CHEMIN DU PARC;ORFORD;J1X7A2
Production artisanale de cidre;VERGER ALLEN DEMERS;909, CHEMIN VIRE-CRÊPES;LÉVIS;G7A1Z9
Brasseur;LA CONTREBANDE;123 et 125, RUE JEAN-PAUL LEBLANC;SAINT-ANSELME;G0R2N0
Fabricant de cidre;LES POMMES PERDUES;92, RUE MANGIN;CHÉNÉVILLE;J0V1E0
Brasseur;EMPORIUM MICROBRASSERIE;5350, BOULEVARD HENRI-BOURASSA, LOCAL 101A ET 101B;QUÉBEC;G1H6Y8
Production artisanale de vin;VIGNOBLE DOMAINE DU SAULE S.E.N.C.;1218, ROUTE 161;SAINT-VALÈRE;G0P1M0
Production artisanale de cidre;VERGER-CIDRERIE BAIE ST-POMME;52, CHEMIN DE LA POINTE;BAIE-SAINT-PAUL;G3Z2B9
Brasseur;BRASSERIE KNOWLTON;576, CHEMIN DE KNOWLTON;LAC-BROME;J0E1V0
Brasseur;PUYJALON DISTILLERIE;2-1180, RUE DU FER;HAVRE-SAINT-PIERRE;G0G1P0
Production artisanale d'hydromel;ATELIER D'USINAGE JACQUES FONTAINE;528 et 587, 3E RANG EST;SAINTE-CÉCILE-DE-MILTON;J0E2C0
Brasseur;BRASSERIE LA FERME;101, CHEMIN MEUNIER ET 1125, CHEMIN DENISON EST;SHEFFORD;J2M1H5
Production artisanale d’alcools et spiritueux;AUREL ET COMPAGNIE DISTILLERIE NORDIQUE;1045, RUE SIMARD;SAINT-AMBROISE;G7P2V2
Production artisanale de cidre;CIDRERIE COMPTON;6360, ROUTE LOUIS-S.-SAINT-LAURENT;COMPTON;J0B1L0
Brasseur;BRASSERIE JUKEBOX;150-5500, RUE HOCHELAGA;MONTRÉAL;H1N3L7
Production artisanale de vin;AUX VOLETS NOIRS;2313 CHEMIN DE LA RIVIÈRE-DES-ANGLAIS;TRÈS-SAINT-SACREMENT;J0S1G0
Brasseur;BRASSE MONTAGNE;386, CHEMIN DE LOTBINIÈRE;BROMONT;J2L1H1
Brasseur;MICROBRASSERIE LA SHED INC.;158, BOULEVARD DES ÉCUREUILS;DONNACONA;G3M0J2
Brasseur;MICROBRASSERIE 5E BARON;55, RUE PRINCIPALE;GATINEAU;J9H3L4
Brasseur;SNO MICROBRASSERIE;250, BOULEVARD WILFRID-HAMEL, ÉDIFICE M, LOCAL RC15, 121 ET 122;QUÉBEC;G1L5A7
Brasseur;FERME BRASSICOLE LA GRANGE PARDUE, COOP DE TRAVAIL;261, ROUTE 216 OUEST;HAM-NORD;G0P1A0
Production artisanale de cidre;LE VERGER À TI-PAUL;260, RANG DU BAS-SAINT-JACQUES;SAINT-ELZÉAR;G0S2J1
Brasseur;BRASSERIE SIR JOHN;455, RUE PRINCIPALE;LACHUTE;J8H1Y4
Brasseur;MALTCO;24-1750, RUE DU PÉRIGORD;QUÉBEC;G1G5X3
Brasseur;MICROBRASSERIE LA FOSSE;100 - 270, RUE DE L'ÉGLISE;DONNACONA;G3M1Z4
Brasseur;FERME DU TARIEU;705, 2E AVENUE;SAINTE-ANNE-DE-LA-PÉRADE;G0X2J0
Brasseur;MESSOREM BRACITORIUM;2233, RUE PITT;MONTRÉAL;H4E4H2
Production artisanale de cidre;VERGER HEMMINGFORD;617, ROUTE 202 EST;HEMMINGFORD;J0L1H0
Production artisanale de vin;CÔTE DE CHAMPLAIN;1033, 7E RANG;SAINT-THÉODORE-D'ACTON;J0H1Z0
Fabricant de cidre;CIDRERIE DU PARC;95, RUE J.-A.- BOMBARDIER, LOCAL 4-A;BOUCHERVILLE;J4B8P1
Production artisanale de vin;MAISON AGRICOLE JOY HILL;85, CHEMIN RICHFORD;FRELIGHSBURG;J0J1C0
Production artisanale de cidre;BLEUETIÈRE GOULET INC.;2041, ROUTE 112;SAINT-FRÉDÉRIC;G0N1P0
Production artisanale de cidre;LES CHAMPS VALLONS;331, CHEMIN DE BROME;LAC-BROME;J0E1S0
Producteur artisanal de bière;MICROBRASSERIE LA CENTRALE;2, RUE RICHARDSON;BEAUHARNOIS;J6N2T1
Production artisanale de cidre;VERGERS ARCHAMBAULT;1140, RANG PAPINEAU;SAINT-PAUL-D'ABBOTSFORD;J0E1A0
Brasseur;MICROBRASSERIE GIBOO;157, RUE PRINCIPALE;SAINTE-HÉNÉDINE;G0S2R0
Production artisanale de cidre;FERME DE L'ALCHIMISTE;229 ROUTE DE SAINT-JULES;MARIA;G0C1Y0
Production artisanale de vin;LES VINS DE LA MANSE;1425, 11E RANG;ROXTON POND;J0E1Z0
Brasseur;LA CONFRÉRIE ARTISANS BRASSEURS;1280, RUE MAURICE-BACHAND;WINDSOR;J1S0J1
Brasseur;CHAPEAU LES BOIS!;790, RUE SAINT-VALLIER OUEST;QUÉBEC;G1N1C9
Brasseur;BRETT & SAUVAGE;37, CHEMIN DE SAINT-ISIDORE;SAINTE-THÉRÈSE-DE-GASPÉ;G0C3B0
Production artisanale de vin;DOMAINE DE CAWOOD;853, CHEMIN DE CAWOOD;ALLEYN-ET-CAWOOD;J0X1P0
Production artisanale de vin;DOMAINE VINÉTERRA;815, CHEMIN PION;MONT-SAINT-HILAIRE;J3H0L4
Production artisanale de petits fruits;DISTILLERIE L'INCANTATRICE;B-1431, RANG CENTRE;BEAULAC-GARTHBY;G0Y1B0
